Date,Mobile Operating System,Percent of Usage
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.42
04/05/2019,WinCE,0.4
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.15
04/05/2019,webOS,0.28
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.14
04/05/2019,WinVista,0
04/05/2019,Other,0.1
04/05/2019,Android,14.61
04/05/2019,iOS,25.02
04/05/2019,SymbianOS,30.25
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,15.03
04/05/2019,Samsung,4.33
04/05/2019,Unknown,5.21
04/05/2019,Windows Phone,0.14
04/05/2019,Sony Ericsson,3.91
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.12
04/05/2019,Playstation,0.39
04/05/2019,WinCE,0.37
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.16
04/05/2019,webOS,0.25
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.13
04/05/2019,WinVista,0
04/05/2019,Other,0.09
04/05/2019,Android,15.16
04/05/2019,iOS,24.56
04/05/2019,SymbianOS,30.66
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.52
04/05/2019,Samsung,4.51
04/05/2019,Unknown,5.14
04/05/2019,Windows Phone,0.26
04/05/2019,Sony Ericsson,3.86
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.11
04/05/2019,Playstation,0.34
04/05/2019,WinCE,0.35
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.21
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.12
04/05/2019,WinVista,0
04/05/2019,Other,0.07
04/05/2019,Android,15.8
04/05/2019,iOS,24.38
04/05/2019,SymbianOS,30.61
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,14.1
04/05/2019,Samsung,4.73
04/05/2019,Unknown,5.1
04/05/2019,Windows Phone,0.28
04/05/2019,Sony Ericsson,3.75
04/05/2019,Linux,0
04/05/2019,bada,0
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.11
04/05/2019,Playstation,0.32
04/05/2019,WinCE,0.32
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.14
04/05/2019,webOS,0.19
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.11
04/05/2019,WinVista,0
04/05/2019,Other,0.07
04/05/2019,Android,16.05
04/05/2019,iOS,23.34
04/05/2019,SymbianOS,31.56
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,13.54
04/05/2019,Samsung,4.99
04/05/2019,Unknown,5.28
04/05/2019,Windows Phone,0.29
04/05/2019,Sony Ericsson,3.66
04/05/2019,Linux,0
04/05/2019,bada,0.12
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.1
04/05/2019,Playstation,0.31
04/05/2019,WinCE,0.29
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.13
04/05/2019,webOS,0.16
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.1
04/05/2019,WinVista,0
04/05/2019,Other,0.06
04/05/2019,Android,17.63
04/05/2019,iOS,22.09
04/05/2019,SymbianOS,31.36
04/05/2019,Series 40,0
04/05/2019,BlackBerry OS,12.94
04/05/2019,Samsung,5.08
04/05/2019,Unknown,5.77
04/05/2019,Windows Phone,0.28
04/05/2019,Sony Ericsson,3.46
04/05/2019,Linux,0
04/05/2019,bada,0.37
04/05/2019,Nokia Unknown,0
04/05/2019,LG,0.1
04/05/2019,Playstation,0.28
04/05/2019,WinCE,0.26
04/05/2019,Nintendo 3DS,0
04/05/2019,Nintendo,0.11
04/05/2019,webOS,0.13
04/05/2019,WinXP,0
04/05/2019,Brew,0
04/05/2019,Motorola,0
04/05/2019,Win7,0
04/05/2019,MeeGo,0
04/05/2019,Maemo 5,0.09
